Question,Answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence in machines that can perform tasks requiring cognitive abilities like learning and problem-solving.
What is Machine Learning?,Machine Learning is a subset of AI that enables systems to learn and improve from data without explicit programming.
What is the difference between AI and ML?,AI is the broader concept of machines performing intelligent tasks while ML is a specific approach to achieve AI through learning from data.
What are the main types of Machine Learning?,The three main types are supervised learning unsupervised learning and reinforcement learning.
What is supervised learning?,Supervised learning is a type of ML where models are trained on labeled data to predict outcomes on new data.
What is unsupervised learning?,Unsupervised learning finds patterns in data without labeled examples using techniques like clustering and dimensionality reduction.
What is reinforcement learning?,Reinforcement learning trains agents to make decisions by learning from rewards and penalties in an environment.
What is deep learning?,Deep learning is a subset of ML using neural networks with multiple layers to learn complex patterns in data.
What is a neural network?,A neural network is a computational model inspired by the human brain consisting of interconnected nodes that process information.
What is an algorithm in ML?,An algorithm is a set of rules or instructions that a machine learning model follows to solve problems and make predictions.
What is training data?,Training data is the dataset used to teach a machine learning model to make predictions or decisions.
What is a feature in ML?,A feature is an individual measurable property of an object or phenomenon being observed and analyzed.
What is overfitting?,Overfitting occurs when a model learns the training data too well including noise making it perform poorly on new data.
What is underfitting?,Underfitting happens when a model is too simple to capture underlying patterns in data resulting in poor performance.
What is cross-validation?,Cross-validation is a technique to evaluate model performance by training and testing on different subsets of data.
What is linear regression?,Linear regression is a supervised learning algorithm that models the relationship between variables using a straight line.
What is logistic regression?,Logistic regression is a statistical method used for binary classification problems that predicts probabilities using the logistic function.
What is a decision tree?,A decision tree is a tree-like model that makes decisions by splitting data based on feature values to reach predictions.
What are random forests?,Random forests combine multiple decision trees to improve accuracy and reduce overfitting through ensemble learning.
What is Support Vector Machine?,SVM is a supervised learning algorithm that finds the optimal boundary to separate different classes in data.
What is K-Nearest Neighbors?,KNN is a simple algorithm that classifies data points based on the majority class of their k nearest neighbors.
What is Naive Bayes?,Naive Bayes is a probabilistic classifier based on Bayes theorem assuming independence between features.
What is clustering?,Clustering is an unsupervised learning technique that groups similar data points together without labeled examples.
What is K-means clustering?,K-means is a clustering algorithm that partitions data into k clusters by minimizing within-cluster distances.
What is dimensionality reduction?,Dimensionality reduction reduces the number of features in data while preserving important information to improve efficiency.
What is Principal Component Analysis?,PCA is a dimensionality reduction technique that transforms data into lower dimensions using principal components.
What is gradient descent?,Gradient descent is an optimization algorithm that minimizes error by iteratively adjusting model parameters in the steepest descent direction.
What is backpropagation?,Backpropagation is an algorithm used to train neural networks by propagating errors backward through the network to update weights.
What is a loss function?,A loss function measures the difference between predicted and actual values to guide model training optimization.
What is regularization?,Regularization adds penalties to model complexity to prevent overfitting and improve generalization to new data.
What is L1 regularization?,L1 regularization adds absolute values of parameters as penalty encouraging sparse models with fewer features.
What is L2 regularization?,L2 regularization adds squared parameter values as penalty preventing any single parameter from becoming too large.
What is bias in ML?,Bias is the systematic error that occurs when a model makes incorrect assumptions about the data patterns.
What is variance in ML?,Variance is the sensitivity of model predictions to changes in training data causing inconsistent results.
What is the bias-variance tradeoff?,The bias-variance tradeoff is the balance between model complexity where reducing bias increases variance and vice versa.
What is ensemble learning?,Ensemble learning combines multiple models to achieve better performance than individual models through averaging or voting.
What is bagging?,Bagging trains multiple models on different subsets of training data and combines their predictions to reduce variance.
What is boosting?,Boosting sequentially trains weak learners where each new model focuses on correcting errors of previous models.
What is feature selection?,Feature selection chooses the most relevant features from data to improve model performance and reduce complexity.
What is feature engineering?,Feature engineering creates new features from existing data to better represent patterns for machine learning models.
What is data preprocessing?,Data preprocessing cleans transforms and prepares raw data for machine learning algorithms to work effectively.
What is normalization?,Normalization scales features to a common range typically 0-1 to ensure all features contribute equally to model training.
What is standardization?,Standardization transforms features to have zero mean and unit variance making them comparable across different scales.
What is one-hot encoding?,One-hot encoding converts categorical variables into binary vectors where each category becomes a separate binary feature.
What is a confusion matrix?,A confusion matrix is a table showing correct and incorrect predictions for each class in classification problems.
What is accuracy?,Accuracy is the ratio of correct predictions to total predictions measuring overall model performance.
What is precision?,Precision is the ratio of true positive predictions to all positive predictions measuring exactness of positive predictions.
What is recall?,Recall is the ratio of true positive predictions to all actual positive cases measuring completeness of positive detection.
What is F1-score?,F1-score is the harmonic mean of precision and recall providing a balanced measure of model performance.
What is ROC curve?,ROC curve plots true positive rate against false positive rate showing classifier performance across different thresholds.
What is AUC?,AUC is the area under the ROC curve measuring the ability of a classifier to distinguish between classes.
What is convolutional neural network?,CNN is a deep learning architecture designed for processing grid-like data such as images using convolutional layers.
What is a convolutional layer?,A convolutional layer applies filters to input data detecting local patterns and features through convolution operations.
What is pooling in CNN?,Pooling reduces spatial dimensions of feature maps by summarizing regions typically using maximum or average values.
What is a fully connected layer?,A fully connected layer connects every neuron to all neurons in the previous layer used for final classification decisions.
What is activation function?,An activation function introduces non-linearity to neural networks enabling them to learn complex patterns and relationships.
What is ReLU activation?,ReLU Rectified Linear Unit sets negative values to zero while keeping positive values unchanged preventing vanishing gradients.
What is sigmoid activation?,Sigmoid activation maps input values to range 0-1 commonly used for binary classification and probability outputs.
What is softmax activation?,Softmax converts a vector of values into probability distribution summing to 1 used for multi-class classification.
What is recurrent neural network?,RNN processes sequential data by maintaining hidden states that carry information from previous time steps.
What is LSTM?,LSTM Long Short-Term Memory is an RNN variant that uses gates to control information flow solving vanishing gradient problems.
What is GRU?,GRU Gated Recurrent Unit is a simplified LSTM variant that combines forget and input gates for efficient sequence processing.
What is transformer architecture?,Transformer uses self-attention mechanisms to process sequences in parallel achieving superior performance in NLP tasks.
What is attention mechanism?,Attention allows models to focus on relevant parts of input sequence when making predictions or generating outputs.
What is self-attention?,Self-attention computes relationships between all positions in a sequence allowing each position to attend to others.
